service_id,client_id,advisor_id,service_date,service_type,hours_worked,base_fee,service_status
S0001,C035,A005,2024-09-14,Nominas,6.1,404.12,Completado
S0002,C025,A004,2025-05-10,Nominas,4.7,256.41,Completado
S0003,C013,A004,2024-10-30,Nominas,6.4,474.29,Completado
S0004,C036,A001,2024-02-25,Contabilidad mensual,8.4,338.16,Completado
S0005,C014,A001,2025-08-10,Nominas,4.5,297.39,Completado
S0006,C033,A008,2024-04-26,Alta autonomo,4.5,211.16,Completado
S0007,C020,A003,2025-07-30,Asesoria mercantil,8.5,319.54,Completado
S0008,C078,A010,2025-09-25,Nominas,6.7,412.70,Completado
S0009,C039,A010,2025-03-15,Nominas,4.0,323.07,Completado
S0010,C027,A011,2024-08-04,Nominas,,349.29,Completado
S0011,C021,A001,2025-02-22,Contabilidad mensual,4.0,173.58,Completado
S0012,C037,A012,2024-10-16,Impuesto sociedades,4.0,220.78,Completado
S0013,C076,A011,2024-07-21,Contabilidad mensual,5.5,404.82,Completado
S0014,C019,A002,2024-03-02,Declaracion trimestral,0.8,126.13,Completado
S0015,C057,A002,2025-04-24,Impuesto sociedades,1.2,153.46,Completado
S0016,C057,A002,2025-09-04,Declaracion trimestral,3.8,378.38,Completado
S0017,C004,A002,2024-08-22,Asesoria mercantil,2.8,209.59,Pendiente
S0018,C035,A010,2024-02-11,Alta autonomo,5.7,314.25,Completado
S0019,C036,A003,2025-08-22,Contabilidad mensual,3.0,,Completado
S0020,C045,A007,2024-12-07,Nominas,1.9,250.94,Completado
S0021,C064,A005,2025-11-09,Asesoria mercantil,8.2,453.16,Completado
S0022,C012,A006,2024-09-15,Nominas,4.5,364.14,Cancelado
S0023,C070,A008,2025-02-27,Declaracion trimestral,5.1,250.65,Completado
S0024,C057,A001,2024-07-27,Nominas,1.9,227.91,Completado
S0025,C016,A001,2025-10-07,Constitucion sociedad,3.8,291.31,Completado
S0026,C071,A007,2024-04-05,Nominas,5.2,210.82,Pendiente
S0027,C020,A008,2024-10-25,Contabilidad mensual,2.5,97.43,Completado
S0028,C032,A008,2025-07-18,Declaracion trimestral,5.8,492.45,Completado
S0029,C009,A005,2025-02-28,Nominas,3.7,247.12,Completado
S0030,C037,A012,2024-11-01,Alta autonomo,4.4,195.14,Completado
S0031,C058,A009,2025-05-10,Nominas,3.7,254.96,Completado
S0032,C042,A004,2025-12-15,Nominas,9.1,611.58,Completado
S0033,C006,A006,2025-04-29,Impuesto sociedades,5.0,444.80,Completado
S0034,C064,A001,2024-05-09,Contabilidad mensual,2.7,170.98,Completado
S0035,C013,A009,2025-04-12,Declaracion trimestral,6.8,564.99,Completado
S0036,C010,A008,2024-09-28,Nominas,2.3,190.61,Completado
S0037,C069,A007,2024-11-20,Constitucion sociedad,5.5,397.59,Pendiente
S0038,C080,A002,2024-08-28,Constitucion sociedad,0.7,36.45,Pendiente
S0039,C056,A002,2025-10-10,Impuesto sociedades,2.1,146.81,Completado
S0040,C004,A001,2024-11-28,Alta autonomo,5.4,300.44,Completado
S0041,C032,A009,2025-02-25,Constitucion sociedad,6.6,357.59,Completado
S0042,C079,A007,2025-09-26,Impuesto sociedades,5.4,221.13,completado
S0043,C060,A011,2024-09-17,Contabilidad mensual,4.7,300.43,Completado
S0044,C037,A011,2025-07-13,Declaracion trimestral,4.3,405.79,Completado
S0045,C055,A012,2024-09-13,Contabilidad mensual,1.7,160.06,Completado
S0046,C014,A004,2025-01-25,Constitucion sociedad,3.4,357.93,Completado
S0047,C003,A011,2025-02-09,Nominas,4.0,358.98,Completado
S0048,C078,A012,2025-05-23,Alta autonomo,7.3,430.72,Pendiente
S0049,C078,A006,2024-08-12,Constitucion sociedad,5.8,400.48,Completado
S0050,C013,A011,2025-10-23,Declaracion trimestral,1.1,104.59,Completado
S0051,C017,A002,2024-10-29,Nominas,5.7,286.16,Completado
S0052,C068,A009,2024-10-06,Alta autonomo,4.2,256.52,Completado
S0053,C038,A012,2024-12-12,Alta autonomo,3.5,343.52,Completado
S0054,C051,A009,2025-01-09,Declaracion trimestral,6.3,277.10,Completado
S0055,C059,A006,2025-11-19,Alta autonomo,7.3,323.07,Completado
S0056,C014,A011,2024-08-27,Contabilidad mensual,7.0,418.35,Completado
S0057,C079,A004,2025-10-25,Declaracion trimestral,3.2,297.63,Pendiente
S0058,C999,A002,2024-05-23,Declaracion trimestral,4.3,367.36,Completado
S0059,C013,A004,2025-07-04,Declaracion trimestral,5.7,398.19,Completado
S0060,C076,A012,2024-06-07,Baja trabajador,7.1,535.12,Completado
S0061,C036,A001,2025-12-07,Contabilidad mensual,3.9,370.30,Completado
S0062,C013,A011,2025-01-11,Contabilidad mensual,4.6,394.04,Cancelado
S0063,C036,A004,2024-05-05,Asesoria mercantil,2.6,243.64,Pendiente
S0064,C077,A001,2024-02-21,Alta autonomo,2.4,131.70,Completado
S0065,C009,A009,2024-07-31,Constitucion sociedad,6.8,307.97,Completado
S0066,C077,A001,2024-10-10,Baja trabajador,8.0,385.24,Completado
S0067,C023,A002,2025-11-07,Baja trabajador,4.8,269.84,Completado
